1,2,1
2,3,1
3,4,1
4,5,1
5,6,1
6,7,1
7,8,1
8,9,1
9,10,1
9,32,2
10,11,1
11,12,1
11,48,3
12,13,1
13,14,1
14,15,1
15,16,1
16,17,1
17,18,1
18,19,1
19,20,1
19,42,2
20,21,1
21,22,1
22,23,1
23,24,1
25,26,2
26,27,2
27,28,2
28,29,2
29,30,2
30,31,2
31,9,2
32,33,2
33,34,2
34,35,2
35,36,2
35,62,4
35,52,5
36,37,2
37,38,2
37,54,3
38,39,2
38,74,5
39,40,2
39,65,4
40,41,2
41,19,2
43,44,3
44,45,3
45,46,3
46,47,3
47,11,3
48,49,3
49,50,3
50,51,3
50,63,4
51,52,3
52,53,3
52,38,5
53,37,3
54,55,3
55,56,3
56,57,3
57,58,3
58,59,3
59,60,3
60,61,3
62,50,4
63,64,4
64,39,4
65,66,4
66,67,4
66,75,5
67,68,4
68,69,4
70,71,5
71,72,5
72,73,5
73,35,5
74,66,5
75,76,5
76,77,5
77,78,5
78,79,5
79,80,5
80,81,5
81,82,5
82,83,5
83,84,5
