1,2,0
2,3,0
3,4,1
4,5,0
5,6,0
6,7,1
7,8,1
8,9,0
9,10,1
9,32,0
10,11,1
11,12,1
11,48,7
12,13,1
13,14,1
14,15,1
15,16,1
16,17,0
17,18,1
18,19,0
19,20,7
19,42,1
20,21,7
21,22,0
22,23,0
23,24,1
25,26,6
26,27,7
27,28,6
28,29,6
29,30,7
30,31,6
31,9,0
32,33,7
33,34,1
34,35,0
35,36,7
35,62,3
35,52,1
36,37,0
37,38,2
37,54,6
38,39,2
38,74,0
39,40,2
39,65,7
40,41,1
41,19,2
43,44,5
44,45,6
45,46,7
46,47,7
47,11,6
48,49,0
49,50,0
50,51,0
50,63,1
51,52,7
52,53,7
52,38,0
53,37,6
54,55,6
55,56,6
56,57,6
57,58,5
58,59,4
59,60,5
60,61,6
62,50,2
63,64,0
64,39,0
65,66,7
66,67,7
66,75,0
67,68,6
68,69,6
70,71,1
71,72,1
72,73,2
73,35,1
74,66,0
75,76,0
76,77,0
77,78,0
78,79,0
79,80,0
80,81,0
81,82,1
82,83,1
83,84,1
