2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
32,9
11,10
12,11
48,11
13,12
14,13
15,14
16,15
17,16
18,17
19,18
20,19
42,19
21,20
22,21
23,22
24,23
26,25
27,26
28,27
29,28
30,29
31,30
9,31
33,32
34,33
35,34
36,35
62,35
52,35
37,36
38,37
54,37
39,38
74,38
40,39
65,39
41,40
19,41
44,43
45,44
46,45
47,46
11,47
49,48
50,49
51,50
63,50
52,51
53,52
38,52
37,53
55,54
56,55
57,56
58,57
59,58
60,59
61,60
50,62
64,63
39,64
66,65
67,66
75,66
68,67
69,68
71,70
72,71
73,72
35,73
66,74
76,75
77,76
78,77
79,78
80,79
81,80
82,81
83,82
84,83
