1,2,1
2,3,1
3,4,2
4,5,1
5,6,1
6,7,2
7,8,2
8,9,1
9,10,2
9,32,1
10,11,2
11,12,2
11,48,0
12,13,2
13,14,2
14,15,2
15,16,2
16,17,1
17,18,2
18,19,1
19,20,0
19,42,2
20,21,0
21,22,1
22,23,1
23,24,2
25,26,7
26,27,0
27,28,7
28,29,7
29,30,0
30,31,7
31,9,1
32,33,0
33,34,2
34,35,1
35,36,0
35,62,4
35,52,2
36,37,1
37,38,3
37,54,7
38,39,3
38,74,1
39,40,3
39,65,0
40,41,2
41,19,3
43,44,6
44,45,7
45,46,0
46,47,0
47,11,7
48,49,1
49,50,1
50,51,1
50,63,2
51,52,0
52,53,0
52,38,1
53,37,7
54,55,7
55,56,7
56,57,7
57,58,6
58,59,5
59,60,6
60,61,7
62,50,3
63,64,1
64,39,1
65,66,0
66,67,0
66,75,1
67,68,7
68,69,7
70,71,2
71,72,2
72,73,3
73,35,2
74,66,1
75,76,1
76,77,1
77,78,1
78,79,1
79,80,1
80,81,1
81,82,2
82,83,2
83,84,2
