1,2,2
2,3,2
3,4,3
4,5,2
5,6,2
6,7,3
7,8,3
8,9,2
9,10,3
9,32,2
10,11,3
11,12,3
11,48,1
12,13,3
13,14,3
14,15,3
15,16,3
16,17,2
17,18,3
18,19,2
19,20,1
19,42,3
20,21,1
21,22,2
22,23,2
23,24,3
25,26,0
26,27,1
27,28,0
28,29,0
29,30,1
30,31,0
31,9,2
32,33,1
33,34,3
34,35,2
35,36,1
35,62,5
35,52,3
36,37,2
37,38,4
37,54,0
38,39,4
38,74,2
39,40,4
39,65,1
40,41,3
41,19,4
43,44,7
44,45,0
45,46,1
46,47,1
47,11,0
48,49,2
49,50,2
50,51,2
50,63,3
51,52,1
52,53,1
52,38,2
53,37,0
54,55,0
55,56,0
56,57,0
57,58,7
58,59,6
59,60,7
60,61,0
62,50,4
63,64,2
64,39,2
65,66,1
66,67,1
66,75,2
67,68,0
68,69,0
70,71,3
71,72,3
72,73,4
73,35,3
74,66,2
75,76,2
76,77,2
77,78,2
78,79,2
79,80,2
80,81,2
81,82,3
82,83,3
83,84,3
